seq,threads,length,pth_avg,mcs_avg,mte_avg,pth_p50,mcs_p50,mte_p50,pth_p99,mcs_p99,mte_p99,pth_p999,mcs_p999,mte_p999,pth_tail,mcs_tail,mte_tail,pth_thp,mcs_thp,mte_thp
1,8,8,1072.864,34977.100,239.265,212,35172,122,7656,40254,552,13466,153018,1056,5827730,1535164,29964488,3586766.500000,491446.000000,4754356.500000
2,8,16,1677.545,36296.321,698.326,244,35812,578,11554,41532,2674,20166,168510,5166,7123548,1327984,33317680,3067783.000000,473721.000000,4115346.000000
3,8,24,2404.726,36947.406,1172.427,488,36486,448,14650,41554,802,25518,168826,14978,4672964,811804,34531268,2620296.500000,465404.500000,3485665.000000
4,8,32,3169.147,37736.863,1975.281,940,37228,238,18188,44220,1010,31550,164910,17722,4640774,2232784,63945016,2263525.000000,455821.500000,3021603.500000
5,8,40,3963.780,38697.718,2837.713,1308,38196,856,21898,44352,2198,37826,168458,17208,5552970,1199308,76626698,2009670.500000,444735.000000,2606980.000000
6,8,48,4518.822,39186.059,3452.199,1630,38648,256,24968,52038,5160,42640,170350,92462,2036678,1154530,40832156,1869052.000000,439437.500000,2366406.000000
7,8,56,5592.532,40364.725,4360.914,3414,39894,798,30602,46742,1144,51880,162760,17532,10063584,1065626,75782138,1665125.000000,426596.500000,2148560.500000
8,8,64,6413.823,40940.792,5071.398,6190,40414,1164,33860,46888,2650,57120,172212,18096,9039092,1495744,80679300,1529577.500000,420753.500000,1972352.500000
9,16,8,6702.492,76995.906,2301.276,218,76566,122,134532,85470,582,288426,188502,1242,23315608,1784530,137869158,3518897.000000,482538.500000,4814678.000000
10,16,16,8744.930,77693.659,3932.002,278,77438,570,114848,88204,2540,213656,186854,4816,17339424,2398642,149770244,2852723.000000,478232.000000,4151545.500000
11,16,24,11034.327,79673.987,6653.129,782,79690,426,113344,89876,816,205082,189400,15688,38007246,1588744,115977094,2355267.000000,466673.500000,3508460.500000
12,16,32,12415.395,82101.391,8442.400,1144,81558,158,108474,92686,1444,183392,189878,18244,8254030,1699780,169860390,2134686.500000,452820.000000,3045312.000000
13,16,40,13910.549,83531.779,10488.326,1612,82742,868,112216,93912,2376,189318,204860,16892,15946440,1826100,139218338,1935724.000000,445144.000000,2602796.000000
14,16,48,15808.917,84785.957,11832.171,2316,84196,234,123494,96768,4730,204974,201930,297974,6020482,1562772,139547116,1736201.500000,438641.000000,2380184.000000
15,16,56,17784.343,87641.073,13525.229,2758,86622,766,131552,102578,1130,211388,228100,17528,6032696,6035312,219669068,1568032.000000,424571.500000,2159906.000000
16,16,64,19189.423,89413.214,15157.734,3310,88514,1162,133950,108530,2622,212960,210748,18050,4917520,1684384,229575496,1467734.500000,416237.000000,1974507.500000
17,24,8,12150.027,117215.390,5688.470,208,120096,118,315932,131238,548,680722,275190,1142,47769808,2473360,238699606,3539200.500000,487875.500000,4817330.000000
18,24,16,14893.912,121820.166,8349.335,262,122346,572,220510,136348,2902,381952,259832,5472,17705702,1768482,222083508,2950947.000000,469490.000000,4103402.000000
19,24,24,17731.865,125398.502,12220.070,612,125174,452,191284,138646,842,312448,273784,15744,14248246,9926306,207542992,2519718.000000,456672.000000,3472570.500000
20,24,32,20653.431,128686.045,14858.150,918,127790,148,185292,142042,1484,296384,272992,18280,19443246,2241522,279180780,2198426.500000,444674.500000,3054378.500000
21,24,40,23599.666,130667.198,17954.583,1220,129610,836,193316,144008,2246,304522,361008,16476,30351266,1438336,366098068,1946397.500000,437743.500000,2621146.500000
22,24,48,25541.654,132490.504,20400.723,1330,131472,260,184476,148248,5074,286340,276230,1327046,12318872,2464252,197650406,1808027.000000,431784.500000,2365241.500000
23,24,56,29067.988,136089.359,22799.761,2478,135146,768,188302,152556,1154,291006,271174,17414,9802180,1868632,296586720,1611074.500000,420381.500000,2157112.000000
24,24,64,32178.039,138786.000,25262.231,3552,137732,1142,209916,153970,2724,331278,311448,18332,9424652,2323962,348450580,1464307.500000,412281.000000,1975861.500000
25,32,8,17735.612,156048.913,9254.594,214,163226,120,459864,178246,544,1080218,341394,1080,104022758,12954288,386528950,3550185.500000,494598.000000,4820628.000000
26,32,16,21475.278,165946.217,12602.337,258,165588,566,323976,183904,2280,570756,367944,4544,55417310,3046792,345039350,2964759.000000,465031.000000,4173600.500000
27,32,24,25813.308,170891.328,17761.499,570,169782,432,277728,187562,916,466996,370382,16424,36283454,2507314,371526472,2500756.500000,451629.500000,3501415.000000
28,32,32,29526.253,173566.868,21535.538,900,172524,176,266322,192284,1506,432182,335968,18100,43467154,1229190,376173608,2208802.000000,444602.000000,3032475.000000
29,32,40,33422.954,177262.587,25405.804,1122,175654,828,261402,196118,1986,419736,430614,16788,28394636,4951982,545977446,1966669.500000,435422.000000,2633016.500000
30,32,48,35847.968,179467.331,29085.006,1234,177888,292,256376,197846,5424,407766,399862,4544410,21063742,9090416,206480670,1841213.500000,430095.000000,2338896.500000
31,32,56,41280.893,183873.098,32013.683,2440,182920,758,249926,201506,1122,393096,359796,17712,14941274,1711476,589025018,1615794.000000,419794.500000,2158324.000000
32,32,64,45300.523,187412.071,35491.844,4554,186258,1168,273434,204786,2684,434800,367234,18184,12910848,2444290,487354226,1483893.000000,411883.500000,1967813.000000
